s	p	o
n5985	p951	n1029
n4563	p951	n3699
n8002	p3272	n6494
n12924	p2128	n18049
n7325	p2080	n20391
n20392	p3666	n18035
n5142	p2471	n9645
n5142	p2276	n843
n5142	p714	n1469
n5142	p714	n15477
n5142	p714	n3532
n17038	p3353	n11112
n5142	p232	n15793
n15793	p2034	n17157
n15793	p2034	n17195
n17157	p890	n18846
n17195	p890	n18847
n18849	p3273	n12560
n18849	p3273	n18864
n17182	p1943	n9601
n17198	p1964	n5142
n5226	p206	n16773
n16844	p206	n17182
n16844	p206	n17198
n21150	p2215	n17239
n21150	p2215	n14673
n21126	p2302	n8332
n21126	p2302	n14739
n5103	p2034	n16876
n5103	p2034	n16841
n16843	p3339	n20719
n17161	p203	n5103
n17196	p156	n5103
n17177	p4012	n19772
n17177	p1205	n1903
n17177	p2780	n7789
n17180	p4012	n11612
n17180	p124	n1094
n17180	p1540	n10907
n17180	p951	n3853
n17164	p167	n5133
n17164	p167	n8332
n17197	p167	n5133
n17197	p167	n8332
n17199	p2500	n18559
n17199	p2169	n8332
n17182	p3005	n5142
n17198	p3005	n5142
n17182	p190	n5142
n17198	p190	n5142
n17038	p3708	n5142
n1968	p3197	n18863
n1968	p1954	n5108
n10410	p205	n11717
n5142	p2423	n5618
n5142	p2490	n17038
n12583	p3702	n12861
n11616	p596	n11121
n11616	p169	n3436
n21161	p3035	n3339
n16821	p173	n14168
n14168	p2147	n9699
n14168	p2147	n14734
n14168	p2147	n15407
n14168	p2147	n9366
n11381	p97	n15504
n17038	p2034	n11616
n17038	p2034	n7131
n17038	p2034	n13292
n11616	p21	n7086
n11616	p512	n21357
n11616	p512	n14753
n16821	p174	n4359
n4380	p200	n5142
n9709	p159	n11541
n14161	p1941	n10925
n1916	p1941	n8642
n9365	p510	n11884
n12058	p4031	n10837
n14168	p3642	n21161
n15917	p2034	n14165
n15917	p2034	n10578
n12051	p2014	n21141
n9343	p899	n11739
n11616	p3393	n10833
n10833	p854	n5131
n554	p1070	n3372
n15406	p60	n14167
n14738	p84	n21141
n6024	p4012	n3233
n6024	p88	n262
n5330	p86	n20268
n2655	p1744	n1223
n2655	p3006	n15458
n2655	p2377	n19819
n6013	p2806	n2655
n6013	p2228	n5142
n6013	p2228	n10511
n20134	p3666	n5349
n20134	p3531	n5302
n21363	p2202	n21176
n21363	p3666	n8385
n19437	p1855	n15364
n19437	p2057	n5142
n19437	p1799	n6963
n14193	p1571	n20252
n14193	p1107	n7107
n19437	p4173	n6013
n2655	p2183	n705
n2655	p1491	n6960
n2655	p1561	n20038
n2655	p1301	n6960
n19437	p3278	n2077
n19437	p3278	n2071
n19437	p3278	n10354
n19437	p4218	n21176
n19437	p4218	n21363
n21363	p4171	n11073
n11073	p529	n20263
n19289	p4196	n10628
n14193	p1573	n6871
n2712	p1575	n13558
n2712	p1754	n18614
n2767	p3246	n2703
n21181	p3246	n2703
n21177	p3246	n2703
n2767	p626	n21181
n2767	p626	n14632
n2767	p1243	n8182
n21181	p1243	n8181
n21363	p2837	n2706
n21363	p3666	n14205
n2655	p1424	n14451
n2655	p2150	n2565
n2655	p2150	n2569
n2655	p2100	n12224
n20134	p1070	n5051
n20134	p2014	n20124
n20971	p2904	n16295
n12589	p2434	n7398
n16825	p3666	n9947
n16108	p492	n12698
n12698	p3501	n6763
n6763	p162	n5142
n5599	p3351	n12770
n12770	p2863	n17750
n5605	p403	n10763
n17546	p3269	n5142
n9033	p2121	n6748
n15296	p3269	n3732
n16376	p3269	n15960
n8746	p883	n12687
n5599	p2080	n796
n5599	p3660	n10459
n5599	p2080	n19197
n16375	p4292	n6074
n5599	p2080	n8711
n8711	p2713	n2339
n8711	p2713	n4563
n4563	p618	n8715
n2339	p128	n6146
n5599	p2080	n2338
n5599	p3660	n618
n5599	p2080	n2277
n2277	p615	n12731
n12731	p3565	n18000
n8496	p2121	n6144
n6144	p2417	n5599
n6138	p3695	n12716
n5599	p487	n8948
n5599	p1993	n18783
n5599	p1993	n15918
n18784	p2574	n8701
n11364	p2574	n2335
n5599	p852	n11125
n11125	p3474	n799
n14409	p4292	n4901
n5607	p37	n4881
n16825	p2150	n6763
n7955	p933	n6064
n6758	p3176	n5214
n5594	p3272	n4911
n17796	p3666	n10762
n8751	p951	n8964
n8751	p951	n6138
n8751	p951	n12716
n2339	p951	n8964
n2339	p951	n6138
n2339	p951	n12716
n4563	p951	n8964
n4563	p951	n6138
n4563	p951	n12716
n9946	p3023	n4913
n4913	p3023	n8964
n8964	p3023	n17900
n17900	p3023	n4896
n12589	p2493	n7398
n16108	p3023	n12698
n12698	p615	n6156
n8744	p2779	n17546
n5808	p4051	n2320
n5808	p4051	n2337
n5808	p4051	n6692
n16825	p124	n16521
n16825	p124	n9826
n16825	p124	n618
n16825	p124	n582
n16825	p124	n852
n16825	p124	n6907
n16825	p3666	n6689
n6686	p3666	n9798
n16104	p2090	n12700
n2320	p2090	n6288
n2337	p951	n2277
n2277	p992	n6145
n16825	p3666	n9794
n16102	p2090	n6293
n6293	p854	n8964
n16825	p2090	n6138
n16825	p2090	n12731
n16825	p2090	n18049
n16825	p2090	n8964
n9950	p2784	n5221
n12569	p3513	n7398
n4913	p3569	n12720
n5793	p877	n5557
n4703	p3274	n4901
n5978	p3213	n17774
n19933	p3735	n20153
n6684	p952	n16521
n6684	p952	n9826
n6684	p952	n618
n6684	p952	n582
n6684	p952	n852
n6684	p952	n6907
n2320	p952	n16521
n2320	p952	n9826
n2320	p952	n618
n2320	p952	n582
n2320	p952	n852
n2320	p952	n6907
n2337	p952	n16521
n2337	p952	n9826
n2337	p952	n618
n2337	p952	n582
n2337	p952	n852
n2337	p952	n6907
n16825	p3023	n9946
n12711	p3023	n17900
n5142	p4012	n7872
n5142	p1116	n18352
n5142	p1482	n17326
n5142	p3558	n12194
n5142	p3558	n7026
n5142	p3558	n1500
n5142	p1288	n6767
n5142	p1288	n21566
n5142	p1288	n19222
n16732	p2596	n5142
n16926	p2940	n4359
n16732	p890	n21331
n2774	p4293	n5142
n13744	p4293	n5142
n10396	p4293	n5142
n3224	p3143	n5883
n19928	p4204	n10113
n19928	p4204	n9195
n21118	p1041	n381
n18991	p2662	n17038
n17038	p22	n3848
n13805	p331	n5113
n17038	p2031	n11612
n17038	p2031	n7130
n17038	p2031	n13288
n862	p3499	n16740
n3332	p3499	n16740
n3331	p626	n4721
n5651	p2104	n5142
n16740	p232	n15294
n16740	p232	n19291
n16740	p232	n12203
n16740	p232	n7032
n16740	p2108	n4657
n16740	p2108	n19051
n16740	p2108	n1810
n16740	p2108	n1540
n16740	p3749	n14700
n14700	p2631	n11774
n10255	p2968	n5329
n12626	p3567	n3398
n3398	p3023	n16626
n16626	p3405	n6766
n5189	p4012	n20859
n10601	p615	n20860
n10359	p681	n4011
n16463	p3744	n18533
n861	p4012	n10889
n5566	p883	n14991
n5566	p2014	n3378
n7910	p3585	n4720
n7851	p1070	n20602
n14991	p2219	n5142
n12589	p2844	n7391
n16146	p1994	n7393
n9284	p3023	n12698
n12698	p3023	n6156
n12560	p1040	n4706
n5638	p3735	n4116
n3839	p2121	n20506
n20506	p3367	n5638
n20506	p3984	n10469
n20506	p492	n19200
n20506	p2090	n18049
n9546	p3474	n799
n20506	p3666	n9955
n16110	p1994	n9794
n9282	p3549	n6293
n12711	p3549	n6138
n6138	p3048	n8751
n6138	p3048	n12643
n789	p1020	n17986
n789	p1011	n12700
n5551	p3549	n14408
n20506	p492	n3556
n20506	p492	n18785
n3556	p3474	n799
n18785	p3469	n799
n20504	p679	n4118
n4118	p711	n795
n4118	p711	n12786
n9967	p854	n14389
n5601	p2899	n5116
n5116	p2034	n6024
n5116	p2034	n3556
n7773	p3760	n4118
n4478	p951	n10616
n5594	p3549	n4880
n8751	p951	n3281
n12643	p951	n8964
n12643	p951	n6138
n12643	p951	n3281
n20506	p3023	n9960
n9960	p3023	n6293
n6293	p3023	n12711
n12711	p3023	n3229
n21004	p1044	n7398
n21015	p3545	n13685
n21015	p3273	n4918
n4918	p3702	n4030
n21015	p157	n1882
n21015	p175	n21005
n13631	p3274	n21007
n9384	p3655	n4043
n2603	p477	n14744
n1856	p894	n19281
n21012	p3666	n4919
n16019	p124	n4044
n21015	p3914	n15983
n21015	p3914	n1021
n21008	p3666	n9964
n16112	p2090	n15550
n1018	p1994	n12704
n12704	p4031	n1882
n21007	p3313	n641
n17547	p259	n19284
n2065	p1994	n19279
n21008	p615	n18049
n4934	p992	n17930
n21010	p3735	n3008
n4916	p63	n5128
n9984	p969	n8409
n21015	p3041	n1880
n21015	p3041	n12700
n3010	p3221	n4919
n21001	p3388	n13429
n19282	p559	n17947
n5142	p1286	n2923
n5142	p1194	n5335
n5142	p1194	n1810
n5142	p1789	n17326
n5142	p233	n16732
n16732	p1629	n10839
n16732	p890	n21326
n3960	p1523	n5142
n5545	p232	n806
n5900	p1227	n2379
n5900	p1227	n2386
n2379	p1610	n7582
n2386	p1610	n7582
n5900	p3274	n17750
n2655	p4051	n5900
n2655	p1878	n1223
n19780	p256	n2743
n19780	p896	n8552
n19780	p1781	n15015
n19780	p1775	n13410
n21949	p3269	n5142
n21949	p1399	n21943
n21949	p951	n19200
n21949	p951	n5762
n21949	p951	n1872
n21949	p951	n5609
n21949	p951	n18651
n21633	p1897	n8871
n14503	p4199	n21949
n10706	p708	n17944
n5800	p708	n6150
n19778	p1228	n181
n19778	p603	n19780
n19780	p3804	n1271
n19780	p3274	n17939
n19780	p3274	n5773
n19780	p1930	n15230
n19780	p1930	n1216
n14503	p1987	n1272
n20764	p2090	n8763
n10152	p1185	n9613
n10152	p1329	n18047
n10151	p1185	n9613
n10151	p1329	n18047
n6994	p1185	n9613
n6994	p1329	n18047
n6993	p1185	n9613
n6993	p1329	n18047
n371	p1185	n9578
n371	p1329	n18047
n9180	p3838	n9617
n19780	p256	n2379
n19780	p256	n2386
n19780	p2150	n21347
n19780	p2150	n21324
n19780	p2150	n2599
n19780	p2150	n7571
n9616	p256	n18219
n18219	p1792	n17954
n18219	p3739	n5142
n21633	p3499	n3321
n19780	p232	n12913
n19780	p232	n17929
n19780	p3330	n8919
n5142	p1287	n18328
n5142	p1194	n10037
n5142	p1194	n3550
n5142	p1194	n18794
n5142	p1194	n1469
n5142	p1789	n15075
n5142	p233	n17442
n17442	p1629	n10839
n17442	p890	n12449
n12449	p977	n14121
n12489	p1994	n14118
n14115	p615	n18093
n14115	p615	n1830
n6372	p1523	n5142
n20636	p2014	n14119
n20636	p1329	n1257
n10338	p1311	n14087
n10338	p704	n20635
n5664	p1980	n17750
n17546	p1415	n8442
n17546	p951	n19200
n17546	p951	n9026
n10339	p2142	n14852
n10339	p70	n19194
n10338	p657	n2042
n21233	p708	n19200
n10339	p2090	n14378
n14378	p3049	n4056
n10339	p2090	n9794
n9794	p3242	n9495
n10339	p772	n6348
n10339	p4116	n12474
n12502	p3371	n14121
n12502	p3774	n14117
n10339	p3666	n19184
n10339	p3666	n19183
n10339	p3666	n11846
n16203	p2014	n19600
n14115	p3736	n5142
n5594	p2009	n15131
n3240	p899	n7380
n3240	p811	n6352
n12473	p3266	n17529
n12473	p3666	n18049
n10339	p3666	n17344
n17862	p626	n17344
n14086	p736	n7173
n14086	p232	n1258
n10338	p1717	n5142
n10338	p3752	n10755
n20637	p3170	n5142
n16732	p890	n12304
n16732	p232	n6024
n16732	p232	n5142
n5142	p232	n16802
n16732	p1774	n12064
n16732	p1117	n17452
n17452	p1414	n13176
n13177	p2006	n6085
n17453	p3461	n11978
n17453	p4051	n6262
n11978	p1080	n17450
n5472	p708	n17750
n20174	p872	n6259
n17450	p3666	n17486
n17450	p3666	n12334
n16197	p3382	n2099
n16133	p3382	n2099
n17450	p492	n5754
n17450	p492	n20175
n17450	p232	n1830
n17451	p951	n6120
n6120	p3763	n5114
n17452	p3747	n13373
n13176	p1247	n7746
n16326	p331	n18356
n13179	p3148	n6043
n16322	p2130	n6086
n17605	p3590	n5142
n11853	p1255	n14829
n11853	p736	n7988
n11853	p736	n4368
n5623	p232	n18361
n5623	p232	n8514
n4368	p615	n7859
n11853	p615	n7859
n11853	p3125	n19255
n14023	p319	n13516
n11853	p1752	n15978
n16174	p2090	n14158
n21460	p883	n11854
n8551	p2090	n11855
n19437	p2038	n17323
n19437	p2038	n6109
n17323	p1176	n12983
n17323	p500	n20879
n6109	p1908	n20296
n6109	p901	n14153
n17325	p1196	n6763
n18476	p1196	n6763
n18476	p1275	n5142
n17325	p1273	n13330
n17325	p1467	n13323
n17325	p1321	n13334
n17325	p965	n19532
n19532	p232	n18025
n11863	p1987	n14029
n11863	p140	n6623
n17698	p1744	n13300
n17698	p16	n14736
n17698	p3521	n15220
n17698	p3520	n13983
n949	p4136	n11862
n1993	p924	n950
n11863	p1987	n16822
n16822	p3371	n17324
n845	p1354	n8665
n16926	p3540	n5142
n12300	p1986	n17325
n12300	p3521	n8336
n12300	p3020	n14501
n11863	p1987	n17259
n17258	p890	n7348
n17260	p84	n6486
n6486	p3747	n19513
n17260	p3666	n20532
n16257	p615	n6108
n14026	p1349	n21656
n14026	p3373	n4368
n14024	p555	n4371
n14023	p3706	n18319
n6763	p232	n17322
n6763	p3491	n19536
n16825	p2108	n18020
n7905	p3646	n20879
n7905	p3173	n11858
n17059	p1936	n11607
n17059	p84	n12492
n17059	p90	n4202
n17059	p3521	n17325
n17059	p3521	n18476
n17059	p3519	n20822
n17059	p1111	n1365
n17059	p1110	n1361
n17059	p579	n17395
n17059	p3541	n5142
n11863	p4225	n1993
n11863	p924	n950
n5142	p1289	n11766
n12304	p1610	n21326
n5142	p500	n16302
n5142	p500	n4657
n5142	p500	n9510
n7553	p1115	n5429
n7553	p1159	n8059
n7553	p3077	n19713
n16065	p232	n6156
n16065	p232	n6272
n6272	p615	n18093
n7553	p2399	n6536
n7559	p588	n757
n16802	p1994	n9736
n9732	p2090	n18049
n7557	p3053	n6353
n6353	p84	n9740
n7553	p4115	n1961
n1961	p588	n14937
n19437	p2157	n7554
n19437	p4199	n17503
n17503	p1415	n17554
n19437	p938	n56
n19437	p938	n2294
n19437	p938	n2313
n17555	p951	n18031
n17555	p1672	n13354
n17556	p951	n19200
n17556	p1672	n8529
n17558	p951	n9919
n17558	p1672	n9922
n21232	p708	n7825
n6510	p951	n7825
n6519	p3006	n7825
n7825	p500	n15958
n7825	p500	n6902
n7554	p3244	n12643
n6510	p1081	n16065
n6519	p1081	n1750
n17555	p1081	n16065
n68	p1081	n8625
n16065	p3344	n17502
n16065	p3356	n12080
n68	p1444	n6519
n68	p1444	n2312
n7554	p4248	n7841
n16065	p3148	n18049
n16065	p3217	n5929
n7557	p3337	n17750
n17500	p4014	n7557
n17709	p534	n19630
n17709	p3228	n6095
n7557	p423	n17966
n17750	p368	n7554
n7556	p3023	n6706
n7556	p232	n6108
n7559	p3573	n20153
n7559	p3176	n17785
n7559	p3210	n17966
n7559	p3195	n6190
n7558	p555	n15157
n1695	p3274	n7869
n7554	p3478	n5221
n7553	p3735	n21219
n5142	p1289	n18314
n5142	p3392	n16923
n16923	p3784	n16802
n5142	p951	n3386
n3386	p3358	n9612
n3386	p4017	n11715
n11720	p2128	n11764
n6042	p4040	n11713
n19437	p1037	n10159
n19437	p3779	n16924
n16924	p3837	n20885
n19437	p141	n6495
n6495	p612	n11522
n6495	p612	n18361
n11522	p677	n15102
n18361	p677	n18307
n19444	p698	n10418
n10418	p603	n16877
n21460	p3462	n19444
n21460	p1987	n3512
n21125	p3716	n3650
n19437	p4071	n3647
n19437	p4071	n908
n19437	p4071	n15801
n2646	p232	n12861
n2645	p603	n20742
n3646	p807	n18574
n20401	p3085	n13178
n3650	p3004	n3306
n7737	p1987	n6549
n6549	p232	n3411
n6548	p2129	n18392
n6548	p3662	n16367
n15802	p1037	n11616
n11616	p505	n15021
n18338	p479	n8615
n11513	p479	n10961
n4320	p902	n18381
n1917	p755	n14516
n4320	p3353	n7340
n4320	p3353	n21319
n4320	p3353	n21323
n4320	p3353	n21340
n10212	p1936	n11607
n10212	p3521	n18381
n10212	p3537	n1911
n10212	p823	n20783
n10212	p2087	n21967
n8333	p481	n15762
n8333	p3914	n3684
n15762	p3744	n16922
n15809	p1941	n18765
n15809	p38	n7841
n4160	p3272	n3378
n16802	p2150	n7841
n7841	p4078	n11506
n5214	p1040	n13537
n11729	p3744	n15168
n14687	p969	n13705
n5142	p1289	n4666
n12304	p977	n7398
n5142	p500	n3556
n12259	p1862	n8037
n8037	p889	n7586
n12259	p3252	n6348
n8040	p3573	n20153
n8040	p4051	n6344
n6293	p615	n5221
n12711	p3081	n18093
n12268	p387	n19726
n8038	p232	n19721
n19437	p2157	n8040
n19437	p4160	n8041
n8041	p3815	n8037
n1816	p221	n18049
n1816	p221	n3567
n8040	p2090	n12267
n8040	p3509	n8039
n12265	p2087	n17503
n19726	p898	n8040
n8040	p3666	n17862
n8040	p3666	n18041
n8040	p2014	n6291
n9335	p3666	n12711
n8040	p2014	n3567
n3567	p223	n10496
n8040	p53	n19739
n12272	p736	n8027
n19526	p3037	n6354
n20440	p4049	n10103
n8040	p4051	n19732
n8040	p555	n9717
n8040	p3735	n13432
n8040	p3141	n5142
n19437	p690	n20148
n8037	p878	n625
n19780	p596	n8406
n19780	p39	n2743
n19780	p232	n18093
n19780	p232	n19291
n19780	p232	n12927
n19780	p232	n19531
n11059	p504	n19776
n11059	p698	n9614
n11059	p232	n17750
n5142	p500	n5335
n5142	p232	n16839
n2740	p977	n3039
n2740	p3274	n12861
n19780	p729	n14583
n19780	p950	n8553
n8553	p2090	n833
n11059	p4006	n13693
n19437	p2157	n11062
n19437	p4199	n21949
n19437	p3805	n19777
n19777	p698	n11059
n17944	p3830	n1873
n6146	p3829	n5790
n11060	p950	n21091
n19499	p3666	n17944
n19499	p3666	n6146
n5694	p1984	n1867
n5694	p4237	n5799
n3116	p122	n1281
n18480	p3274	n2742
n9615	p3747	n1271
n19426	p626	n7201
n5694	p3273	n12861
n12863	p3666	n17774
n2741	p431	n15237
n2741	p431	n1230
n5058	p3343	n19780
n18966	p2119	n20432
n20432	p2034	n17731
n20432	p2034	n11925
n20164	p4247	n11060
n12436	p3037	n3421
n19780	p730	n15908
n15908	p2130	n17980
n14583	p950	n10951
n21949	p3628	n8971
n8971	p499	n5142
n1300	p1987	n2652
n11060	p3734	n10488
n19779	p3240	n17364
n19437	p690	n19433
n11061	p3914	n5383
n2734	p3744	n2838
n6841	p1242	n6763
n6841	p2075	n6766
n6841	p2075	n7871
n6841	p2075	n5142
n5142	p1403	n19409
n5142	p540	n16825
n16825	p23	n11116
n5142	p232	n15960
n6841	p232	n843
n6841	p232	n9861
n6841	p232	n1529
n6841	p232	n3861
n3990	p3735	n19429
n3990	p1833	n8179
n15761	p615	n12778
n15761	p2005	n6108
n3990	p2005	n9184
n19444	p1347	n6841
n19444	p946	n16825
n19444	p4110	n7936
n7936	p4232	n1387
n1387	p4204	n911
n1387	p708	n3990
n2495	p4148	n391
n2495	p142	n10725
n2496	p945	n13212
n2496	p945	n17743
n2496	p945	n3636
n14166	p1041	n3323
n14152	p677	n4360
n10576	p677	n4361
n10576	p677	n10406
n7936	p1987	n15761
n15761	p504	n14152
n15761	p504	n10576
n14152	p2077	n3213
n14152	p2077	n3214
n10576	p2077	n3214
n3990	p3440	n12779
n3990	p2049	n8258
n3990	p2049	n7566
n3990	p2049	n5495
n3990	p2049	n397
n3990	p2049	n2431
n3990	p232	n6837
n3990	p232	n1540
n3990	p232	n9861
n3990	p232	n9071
n3990	p232	n11089
n3990	p970	n7875
n6841	p3843	n12778
n11443	p427	n6838
n1387	p1279	n16846
n1387	p3643	n12621
n4731	p4248	n6090
n3990	p3925	n6108
n7919	p3895	n1386
n5142	p4012	n18322
n5142	p232	n16789
n16786	p890	n12583
n5142	p2830	n19254
n18230	p3274	n17750
n6797	p899	n18240
n18248	p2005	n5142
n17511	p1415	n10839
n11978	p936	n17966
n11978	p935	n17966
n6951	p4064	n4257
n6956	p4064	n4254
n4256	p2121	n9068
n4253	p2121	n19328
n8536	p3602	n18218
n8536	p3602	n6950
n2169	p2064	n5046
n2169	p2064	n8751
n2169	p2064	n1110
n5210	p3961	n6952
n16041	p3363	n17966
n5210	p3932	n6952
n5959	p3357	n17966
n5210	p3932	n6957
n5960	p3357	n17966
n5046	p1768	n18218
n16209	p3363	n17966
n18225	p3309	n17966
n6950	p3954	n797
n13309	p3941	n14818
n18254	p3954	n5210
n18229	p3709	n15101
n18228	p3709	n9857
n1039	p3492	n17813
n1039	p1040	n17813
n10935	p2090	n18085
n10935	p2090	n5610
n18218	p1748	n17747
n18237	p2090	n18058
n6951	p1122	n17953
n6954	p1122	n17953
n6959	p1122	n17953
n6797	p949	n18240
n6797	p250	n5142
n18223	p615	n20150
n5210	p3269	n880
n18248	p4109	n4692
n16207	p574	n16494
n18221	p3666	n18026
n18249	p2132	n13422
n5142	p4012	n6108
n5142	p232	n12096
n5142	p232	n15470
n5142	p232	n3538
n16789	p3784	n10833
n16802	p492	n5142
n17511	p951	n19176
n17511	p951	n9014
n17511	p951	n15071
n7841	p3272	n6086
n19368	p2130	n14510
n15673	p3602	n20475
n15673	p140	n17511
n15673	p140	n21499
n15673	p3456	n14853
n15673	p3456	n14864
n7763	p1987	n2008
n14179	p1987	n10221
n17956	p708	n7817
n21244	p626	n5761
n19368	p1422	n7948
n856	p1422	n7948
n17750	p1852	n7750
n17465	p3549	n10586
n6518	p951	n10177
n6518	p951	n8529
n15390	p951	n14520
n4779	p901	n18027
n4779	p901	n10115
n4779	p901	n10110
n19381	p2034	n16638
n896	p901	n12676
n18024	p2034	n9215
n9215	p2034	n7096
n18024	p2034	n1443
n1442	p232	n17750
n3998	p901	n8254
n17920	p3440	n13677
n17920	p3440	n9624
n7754	p3789	n11711
n11710	p2130	n18049
n11710	p2130	n19600
n19375	p969	n14525
n8797	p3770	n17750
n2621	p2005	n17764
n12761	p2005	n17764
n674	p2121	n20482
n20482	p280	n697
n20482	p280	n11126
n7757	p2132	n20158
n10511	p4012	n6108
n10511	p23	n3167
n10511	p1351	n19678
n10511	p1351	n4144
n10511	p500	n12096
n10511	p500	n20396
n10511	p500	n466
n10511	p232	n3556
n10511	p232	n3573
n10511	p232	n1823
n10511	p232	n15453
n10511	p232	n1551
n1540	p3371	n6024
n1540	p232	n9861
n6025	p1225	n12036
n3415	p906	n10514
n3415	p906	n5222
n3415	p1381	n10817
n10512	p3749	n20396
n10512	p3749	n4807
n10512	p3749	n7804
n5171	p3749	n5622
n5171	p3749	n6857
n5171	p3749	n19291
n5171	p3749	n3573
n10511	p1139	n10926
n5142	p1139	n8544
n10511	p951	n1551
n1551	p2034	n19048
n1551	p2034	n19327
n10511	p232	n9861
n9861	p1824	n11678
n9861	p1824	n18293
n9861	p1824	n15239
n5651	p3499	n9861
n19678	p3499	n9861
n4144	p232	n1972
n19678	p232	n18346
n10511	p1816	n7817
n10511	p1816	n1500
n10511	p1318	n18732
n10511	p1318	n4807
n10511	p1318	n7804
n1540	p737	n6114
n1540	p2689	n9862
n10511	p736	n5142
n5651	p2108	n1540
n5651	p749	n12770
n18077	p615	n1538
n7874	p615	n1540
n7852	p2030	n21798
n6024	p1218	n1540
n6024	p1218	n9861
n12583	p977	n7387
n16825	p492	n10833
n10833	p3023	n16222
n16222	p1994	n9768
n9274	p615	n12711
n5142	p232	n20013
n17511	p1080	n17529
n21452	p3656	n8730
n18894	p3602	n3089
n17511	p3666	n18875
n16221	p3371	n7387
n15543	p951	n15113
n5839	p933	n3091
n3091	p3666	n593
n15983	p1994	n9720
n9940	p665	n6288
n4424	p3565	n18049
n20009	p615	n6748
n1009	p2269	n7387
n3000	p969	n18130
n18130	p854	n6156
n19986	p4293	n16899
n3090	p3043	n7963
n9285	p4111	n5221
n12547	p3735	n20157
n16539	p3666	n18035
n14998	p4051	n3092
n5142	p500	n6748
n5142	p500	n840
n6108	p1694	n10036
n5142	p490	n16926
n5142	p232	n7497
n7274	p2309	n995
n7274	p2309	n1962
n7274	p2309	n7707
n963	p2646	n7304
n963	p977	n4017
n963	p977	n8751
n7438	p890	n970
n7451	p890	n1938
n7476	p890	n7684
n7497	p615	n6024
n7497	p615	n5142
n12965	p140	n5165
n5165	p1832	n10409
n18187	p1987	n4378
n18187	p1987	n9707
n21112	p1026	n21747
n21452	p3655	n11092
n7319	p872	n3194
n21430	p3602	n15409
n11741	p3269	n13830
n7438	p1080	n5098
n7438	p4244	n11612
n7451	p1080	n5098
n7451	p4244	n11612
n7476	p1080	n5098
n7476	p4244	n11612
n7444	p3666	n7288
n7444	p124	n15907
n7444	p3525	n19586
n7453	p124	n10295
n7453	p3272	n4615
n7453	p3272	n4381
n7453	p3525	n14265
n7487	p3666	n19586
n7487	p1994	n15902
n7487	p492	n5020
n3093	p3666	n9799
n12711	p3565	n17747
n21145	p711	n7210
n13441	p84	n15902
n14749	p84	n3089
n13830	p3274	n7291
n13831	p123	n7452
n7496	p4051	n963
n963	p2346	n9720
n4449	p4111	n5221
n21156	p711	n6069
n11612	p492	n7200
n7200	p3023	n6108
n20446	p3666	n15904
n7731	p3856	n9774
n18458	p2090	n12861
n12861	p854	n17900
n7440	p675	n7882
n7882	p969	n5185
n5142	p232	n7290
n5142	p4012	n9648
n5142	p232	n1559
n12449	p4012	n21326
n4878	p4146	n9622
n16825	p3784	n12501
n12501	p84	n7113
n16732	p1934	n21688
n14202	p698	n18625
n14202	p734	n12824
n12824	p1861	n7401
n12824	p1861	n8075
n7401	p978	n7499
n12824	p978	n16732
n12824	p978	n17186
n12824	p978	n17200
n12824	p978	n17203
n5130	p1469	n603
n5130	p951	n1109
n5130	p951	n4581
n7401	p1765	n9724
n16086	p615	n6156
n12449	p3048	n1635
n12449	p3048	n4544
n12449	p3048	n1639
n16906	p3003	n16774
n16774	p2719	n7401
n12824	p1339	n16521
n12824	p1339	n11349
n12824	p1339	n6914
n12824	p1339	n14273
n12824	p1339	n9825
n5130	p951	n16040
n5130	p951	n5555
n5130	p951	n16156
n5130	p951	n7199
n12479	p3023	n7378
n7378	p854	n18049
n18049	p501	n5142
n6425	p4031	n7379
n1053	p3695	n12699
n2154	p3735	n20157
n5142	p2159	n483
n5469	p3585	n2016
n9284	p749	n13668
n12472	p84	n4682
n13667	p615	n3556
n16541	p3176	n3561
n16825	p1994	n9951
n1004	p232	n3532
n5142	p500	n11319
n5142	p2197	n18351
n5142	p3557	n4656
n12449	p655	n9957
n16825	p124	n2155
n3179	p550	n891
n5472	p130	n988
n5472	p130	n1952
n5472	p130	n4525
n5472	p130	n20219
n5755	p3460	n21389
n5755	p4138	n2153
n6668	p4126	n14955
n14955	p3602	n13663
n14955	p3602	n13664
n993	p3314	n856
n999	p626	n4695
n3179	p950	n874
n3179	p3004	n13361
n4701	p4297	n9574
n6145	p3322	n3561
n6145	p3521	n11113
n13524	p3914	n9561
n13524	p3914	n15988
n18313	p3284	n13526
n20234	p3311	n856
n21604	p3914	n12603
n2513	p232	n12801
n2513	p3481	n9610
n2527	p250	n9609
n2527	p3646	n9609
n2527	p3686	n18298
n3365	p2131	n15871
n19452	p59	n2844
n21039	p853	n6734
n21039	p3529	n2899
n2527	p4012	n9665
n2527	p4051	n16729
n2850	p2129	n18035
n5142	p232	n7212
n5142	p500	n10031
n5142	p500	n15302
n9007	p3494	n17747
n9608	p1952	n18296
n9608	p1955	n21033
n9611	p1952	n2508
n17747	p4099	n6832
n17747	p4099	n21024
n21024	p520	n17966
n21024	p3480	n17835
n1267	p232	n15831
n1267	p3666	n6832
n2227	p4123	n17993
n2527	p232	n6832
n2527	p2090	n17750
n2527	p232	n11528
n2527	p232	n13131
n2527	p3318	n19291
n2527	p4283	n9609
n6832	p44	n18069
